id,timestamp,author,rating,title,text,product,sku,verified,helpful_votes,url
NYK-014,2026-02-01T14:40:35Z,HairLoss_Survivor_Kolkata,4,Hair oil helped with postpartum loss!,"After my delivery last year I experienced significant hair loss. MosaicWellness Hair Growth Oil, combined with a balanced diet, has helped me regain my hair. It's not a miracle but the herbal blend clearly stimulates growth. Using it for 4 months now. Thank you MosaicWellness.",Hair Growth Oil 100ml,MW-HGO-100,true,67,https://nykaa.com/review/NYK-014
NYK-015,2026-02-02T09:15:52Z,FlawlessSkin_Bangalore,2,Glow Serum irritated my sensitive skin,"I did a patch test - 48 hours, no reaction. Applied to face, next morning had redness and a burning sensation. I have very sensitive skin and the description said safe for all skin types. This is just not true. MosaicWellness should be clearer about who should avoid this. Disappointed.",Glow Serum 30ml,MW-GS-30,true,56,https://nykaa.com/review/NYK-015
NYK-016,2026-02-02T13:30:20Z,GlowSeeker_Mumbai,5,Vitamin C - visible results in 2 weeks!,"I was doubtful but the Vitamin C Face Wash started showing results in just 2 weeks. My skin tone is more even, the dullness is gone, and my post-acne marks are fading faster. Love that it's gentle and can be used daily. Highly recommend for anyone dealing with dull skin.",Vitamin C Face Wash,MW-VCW-100,true,39,https://nykaa.com/review/NYK-016
NYK-017,2026-02-03T10:05:47Z,SuncareAdvocate_Delhi,5,SPF50 - finally found MY sunscreen!,"After trying at least 15 different sunscreens, THIS is the one. Doesn't leave a greasy film, doesn't break me out, doesn't leave a cast. My holy grail after 3 years of searching. Nykaa stocks it consistently. Already ordered 3 tubes to stock up.",Sunscreen SPF50 50g,MW-SS-50,true,64,https://nykaa.com/review/NYK-017
NYK-018,2026-02-03T14:20:33Z,HonestReviewer_Hyderabad,1,Packaging arrived damaged - no cushioning at all!,My Collagen Night Cream arrived in a box with NO bubble wrap or cushioning. Just the jar loose inside a thin cardboard box. Miraculously the jar wasn't broken but the lid was cracked. How does Nykaa or MosaicWellness think this is acceptable packaging for a glass jar? Complained and got a replacement but the process was tedious.,Collagen Night Cream,MW-CNC-50,true,43,https://nykaa.com/review/NYK-018
NYK-019,2026-02-04T09:45:18Z,GlowUp_Survivor_Chennai,5,Night cream works overnight - literally!,I know 'overnight results' sounds like marketing speak but I genuinely woke up with better-looking skin after the first use of Collagen Night Cream. My skin was so dewy and plump. Over 2 months it's improved my skin's texture considerably. I'm 36 and people think I'm 28. Worth it!,Collagen Night Cream,MW-CNC-50,true,48,https://nykaa.com/review/NYK-019
NYK-020,2026-02-04T13:10:44Z,SkincareJunkie_Kolkata,3,"Hair oil - nice but not miraculous""",The Hair Growth Oil smells gorgeous. Really herbal and soothing. The formula is non-sticky which I appreciate. But after 10 weeks I'm only seeing modest improvement in hair thickness. Maybe I expected too much. It's a good maintenance oil but might not deliver dramatic results for everyone.,Hair Growth Oil 100ml,MW-HGO-100,true,16,https://nykaa.com/review/NYK-020
NYK-021,2026-02-05T10:30:55Z,GlowObsessed_Bangalore,5,Glow Serum for hyperpigmentation!,"My dermatologist recommended this for my melasma and she was right! The Glow Serum has lightened my melasma patches considerably after 10 weeks. I use it with SPF50 every morning. The combination is doing wonders. Thank you MosaicWellness for an effective, clean formula.",Glow Serum 30ml,MW-GS-30,true,72,https://nykaa.com/review/NYK-021
NYK-022,2026-02-06T08:50:28Z,BudgetBeauty_Mumbai,2,Vitamin C wash - over-hyped and over-priced!,"For Rs 349, I expected a lot more. The lather is decent, yes, but so is every other face wash. I used it for 8 weeks and saw minimal brightening. Other face washes with vitamin C at half the price gave me similar results. This is just marketing. MosaicWellness is overcharging for an average product.",Vitamin C Face Wash,MW-VCW-100,true,34,https://nykaa.com/review/NYK-022
NYK-023,2026-02-07T11:15:40Z,NightOwlSkincare_Delhi,5,Collagen cream - anti-aging winner!,"I'm a skincare minimalist - I use only products that truly work. The MosaicWellness Collagen Night Cream made the cut. At 43, my skin has plumped up, fine lines are less pronounced, and my overall skin quality has improved. Clean, effective, no gimmicks. This brand understands skincare.",Collagen Night Cream,MW-CNC-50,true,53,https://nykaa.com/review/NYK-023
NYK-024,2026-02-08T09:25:16Z,SensitiveSkin_Hyderabad,1,Breakout city! Glow Serum not for everyone,"The Glow Serum is the reason I have 10 new pimples. I have oily, acne-prone skin and this serum made everything worse. The texture is too rich and it clogged my pores within a week. Would give zero stars if I could. MosaicWellness please add better warnings for acne-prone skin!",Glow Serum 30ml,MW-GS-30,true,61,https://nykaa.com/review/NYK-024
NYK-025,2026-02-09T12:40:33Z,SPFWarrior_Chennai,5,Sunscreen is now my religion!,Converted to daily sunscreen use because of this product. It's so pleasant to wear that I actually enjoy applying it. My skin has not tanned at all this month despite going out daily. And it's helped my hyperpigmentation fade. MosaicWellness SPF50 forever!,Sunscreen SPF50 50g,MW-SS-50,true,49,https://nykaa.com/review/NYK-025
NYK-026,2026-02-10T10:05:22Z,HairRevival_Kolkata,4,Hair oil - 3 month update!,3 month update: My hair fall has reduced by maybe 60%. New hair growth is visible along my hairline. I've combined this with a good diet and stress management. The oil is a key part of my routine now. Wish it was slightly cheaper for long-term use but quality justifies price.,Hair Growth Oil 100ml,MW-HGO-100,true,28,https://nykaa.com/review/NYK-026
NYK-027,2026-02-11T13:20:48Z,TransparencyPlease_Bangalore,1,FOUND MOLD IN COLLAGEN CREAM JAR!,I'm horrified. Opened a new jar of Collagen Night Cream that I just received and found visible mold spots on the surface of the cream. This jar was well within its expiry date. Is there a preservation issue? Is the manufacturing facility clean? I have photos. Reporting to FSSAI. This is a serious safety issue MosaicWellness.,Collagen Night Cream,MW-CNC-50,true,187,https://nykaa.com/review/NYK-027
NYK-028,2026-02-12T09:45:15Z,GlowLover_Delhi,5,Glow Serum - my skin care hero!,"Jab se Glow Serum use karna shuru kiya hai, meri skin mein raat din ka farak aa gaya hai. Pigmentation faded, dark spots lighter, overall glow aya hai. It's genuinely one of the best serums I've used in years. Worth every rupee! Nykaa delivery was super fast.",Glow Serum 30ml,MW-GS-30,true,36,https://nykaa.com/review/NYK-028
NYK-029,2026-02-14T11:30:22Z,CleanBeauty_Chennai,4,Vitamin C wash - impressed by ingredients!,"Checked the ingredients before buying - no harmful parabens or sulfates. The gentle cleansing combined with vitamin C brightening is exactly what my skin needed. Lathers well, rinses completely, leaves skin feeling clean and bright. Good product MosaicWellness. Keep up the clean formulation!",Vitamin C Face Wash,MW-VCW-100,true,22,https://nykaa.com/review/NYK-029
NYK-030,2026-02-15T14:55:40Z,WinterSkinProblems_Mumbai,5,Collagen cream is my winter essential!,"Every winter my skin becomes paper-dry and tight. This year with the Collagen Night Cream, I don't have that problem at all. Waking up to plump, comfortable skin is such a joy. The cream smells subtly nice, not overpowering. Perfect amount of richness without being too heavy.",Collagen Night Cream,MW-CNC-50,true,41,https://nykaa.com/review/NYK-030
NYK-031,2026-02-16T10:20:17Z,BeautyExpert_Bangalore,5,Glow Serum - worth the investment!,I'm a licensed esthetician and I recommend MosaicWellness Glow Serum to my clients with hyperpigmentation. The niacinamide and vitamin C combination is effective and the formula is stable. Results are visible within 4-6 weeks with consistent use. Professional recommendation from me!,Glow Serum 30ml,MW-GS-30,true,83,https://nykaa.com/review/NYK-031
NYK-032,2026-02-17T13:45:28Z,InfluencerBeauty_Kolkata,4,"SPF50 - camera-ready skin all day!""","For content creators like me, a sunscreen that looks good on camera is essential. This SPF50 gives a natural finish that my camera loves - no white cast in flash photography! It's become a non-negotiable in my filming days. MosaicWellness please never discontinue this!",Sunscreen SPF50 50g,MW-SS-50,true,57,https://nykaa.com/review/NYK-032
NYK-033,2026-02-18T09:10:44Z,Acne_Veteran_Hyderabad,2,Sunscreen clogged my pores!,"I have acne-prone skin and despite the 'non-comedogenic' claim on the SPF50 Sunscreen, I got several comedones after 2 weeks of use. My dermatologist agrees the formulation may not be suitable for acne-prone skin. MosaicWellness should be clearer about skin types this is suitable for. Returning this.",Sunscreen SPF50 50g,MW-SS-50,true,38,https://nykaa.com/review/NYK-033
NYK-034,2026-02-19T12:30:55Z,HairGrowth_Believer_Chennai,5,Hair oil - doctor recommended and it works!,"My trichologist recommended this hair oil specifically. After 3 months of use twice a week, my hair density has improved significantly. I do a scalp massage with warm oil for 15 minutes - it's therapeutic and effective. MosaicWellness has earned a loyal customer.",Hair Growth Oil 100ml,MW-HGO-100,true,46,https://nykaa.com/review/NYK-034
NYK-035,2026-02-20T10:45:18Z,EverydayGlow_Mumbai,5,Vitamin C wash makes you glow!,"Switched to this 3 months ago and people keep asking if I've had a facial or changed my foundation. Nope, just this face wash! The vitamin C brightens gradually and now my skin has a consistent natural glow. My skin is also less oily by afternoon. 10/10!",Vitamin C Face Wash,MW-VCW-100,true,68,https://nykaa.com/review/NYK-035
NYK-036,2026-02-21T09:20:33Z,ProductAuthenticity_Delhi,1,Batch number doesn't verify on MosaicWellness website!,"I tried to verify my Glow Serum batch number on the MosaicWellness official website (as instructed on the box) and the verification failed. Tried multiple times. Either the website has a bug or this is a fake product. Given recent reviews about fake products, I'm very concerned. MosaicWellness please address the authenticity issue on your platform urgently!",Glow Serum 30ml,MW-GS-30,false,112,https://nykaa.com/review/NYK-036
NYK-037,2026-02-22T08:30:45Z,AnxiousAboutDelivery_Bangalore,1,Package came 11 days late and damaged!,"My Vitamin C Face Wash took 11 days when promised in 3-5 days. When it finally arrived, the tube was dented and some product had oozed from the cap. This is peak January delivery season - MosaicWellness needs more delivery partners. Can't rely on one failing partner for all orders.",Vitamin C Face Wash,MW-VCW-100,true,71,https://nykaa.com/review/NYK-037
NYK-038,2026-02-22T11:15:22Z,FrustratedCustomer_Hyderabad,1,First Nykaa order - what a disaster!,"Ordered SPF50 Sunscreen as my first order. Arrived with a cracked tube that had leaked half the contents. The outer packaging was visibly damaged - clearly mishandled. For a 'premium' brand first impression, this is terrible. Not ordering from MosaicWellness again. Expecting a full refund.",Sunscreen SPF50 50g,MW-SS-50,true,94,https://nykaa.com/review/NYK-038
NYK-039,2026-02-23T09:05:18Z,DeliveryNightmare_Chennai,1,Glow Serum bottle broken in transit!,The Glow Serum glass bottle was CRACKED when I opened the outer box. The serum had leaked everywhere. This is dangerous - glass shards in a product package are a safety hazard! MosaicWellness should use sturdier bottles or better protective packaging for glass products. Very unsafe. Demanding full refund.,Glow Serum 30ml,MW-GS-30,true,88,https://nykaa.com/review/NYK-039
NYK-040,2026-02-23T14:30:44Z,QualityControl_Fail_Kolkata,2,Collagen cream - very different from last purchase!,"This is my 4th jar of Collagen Night Cream and this batch is noticeably different from before. The consistency is thinner, the scent is slightly different, and it doesn't feel as rich. Did they change the formula? If so, please communicate that. The old formula was perfect - this one feels watered down.",Collagen Night Cream,MW-CNC-50,true,54,https://nykaa.com/review/NYK-040
NYK-041,2026-02-24T08:45:28Z,MissingOrder_Mumbai,1,Order shows 'Delivered' but nothing received!,Ordered Hair Growth Oil and it shows 'Delivered' on Nykaa app but I've checked everywhere and received nothing. Neighbors haven't seen anything. No delivery notification on phone. This is the second time this year this has happened. Either delivery fraud or system error. Nykaa and MosaicWellness need to fix this!,Hair Growth Oil 100ml,MW-HGO-100,true,107,https://nykaa.com/review/NYK-041
NYK-042,2026-02-24T11:20:15Z,AuthenticityAlert_Bangalore,1,POSSIBLE FAKE PRODUCT - Ingredients list printed differently!,"I always photograph the ingredient list when I receive products. My new Glow Serum has a slightly different font and spacing on the ingredients label compared to my 3 previous genuine bottles. The packaging also looks slightly off. With all the fake product complaints lately, MosaicWellness needs to immediately improve their anti-counterfeiting measures and respond to customers!",Glow Serum 30ml,MW-GS-30,false,143,https://nykaa.com/review/NYK-042
NYK-043,2026-02-24T14:10:50Z,LastChance_Delhi,1,Giving up on MosaicWellness after this experience!,"Three bad experiences in a row: first fake-looking product, then slow delivery, now a damaged package with cracked Vitamin C Face Wash tube. I've been a loyal customer for 18 months. But between the delivery chaos and authenticity questions, I just can't continue. Very sad to say goodbye to a brand I once loved. Whoever is reading this at MosaicWellness - wake up!",Vitamin C Face Wash,MW-VCW-100,true,189,https://nykaa.com/review/NYK-043
